id	bet_amount	bet_id	brand	channel_type	game_id	game_name	game_provider	game_status_id	game_type	jackpot_contribution	jackpot_details	jackpot_payout	jackpot_type	kiosk_terminal	machine_id	outlet_id	payout_amount	platform_code	platform_name	player_id	prematch_live	refund_amount	round_id	seed_contri_amount	settlement_time	site	sport	status	ticket_status	time_of_bet	createdAt	updatedAt	timestamp	transaction_id
11	6.00	yb_9dbcfd9f559aae2481d5a93a6d02f004a707	YB	ONLINE	1017	ROLLING FORTUNE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	ecb0c837-ec8f-9928-590a-32be0236a0d2	live	0.00	d59270956079	NULL	2025-04-02 00:00:09	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:09	NULL	NULL	2025-04-01 18:30:09	yb_1821542303
12	3.00	yb_3b8cc4198df2b6a0898ec568f4f15820b2a9	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	33e6c2ac-5fc9-35bd-599e-2d6747a81360	live	0.00	96d453a75fac	NULL	2025-04-02 00:00:10	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:10	NULL	NULL	2025-04-01 18:30:10	yb_1821542743
13	1.00	yb_7071b3cc40ebbbea00af46cb19e184d7f4a6	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	1.75	16	egames	c74296a0-d57c-9ac1-7591-bb56f1b32d19	live	0.00	4ae6e78f37db	NULL	2025-04-02 00:00:11	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:11	NULL	NULL	2025-04-01 18:30:11	yb_1821542854
14	1.50	yb_3baf927f680386566e1672425ccd240f7ccb	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	609e3312-5df7-78a9-f246-ad28d6423e23	live	0.00	986ff1f80328	NULL	2025-04-02 00:00:11	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:11	NULL	NULL	2025-04-01 18:30:11	yb_1821543000
15	3.00	yb_1f6ad3bd94d7ad3b54f11583b4aa307cfde5	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	3.60	16	egames	83e0e13f-232c-4123-bc2d-4bbe428819ab	live	0.00	b254b0faed44	NULL	2025-04-02 00:00:12	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:12	NULL	NULL	2025-04-01 18:30:12	yb_1821543329
16	5.00	yb_06574cb4ed540fbb40351cbff718dd5d508b	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	807b9be2-10ec-6018-b61f-32498bd5abab	live	0.00	e58f5c4a475b	NULL	2025-04-02 00:00:12	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:12	NULL	NULL	2025-04-01 18:30:12	yb_1821543148
17	3.00	yb_fa17cf162096fcb92bacedb0b323981c06f3	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.15	16	egames	33e6c2ac-5fc9-35bd-599e-2d6747a81360	live	0.00	4a604e159f8f	NULL	2025-04-02 00:00:14	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:14	NULL	NULL	2025-04-01 18:30:14	yb_1821544145
18	1.00	yb_86092460635583e14ecf9c78935971911639	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	99199bec-316c-1242-7344-1e099f3ddf6e	live	0.00	c7772ec6c12e	NULL	2025-04-02 00:00:14	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:14	NULL	NULL	2025-04-01 18:30:14	yb_1821544071
19	1.00	yb_97e60ea4e22ae286afbf9343cfd6fbfe420d	YB	ONLINE	1024	BOOM BOOM MARMOT	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	b4415d03-29d4-08e5-a584-dd89656bd2e8	live	0.00	11ea1b99c8e0	NULL	2025-04-02 00:00:16	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:16	NULL	NULL	2025-04-01 18:30:16	yb_1821544787
20	1.00	yb_0c5900dd9d77ab5de2feeb26346f24d8be9d	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	1e53686a-7af9-f3b7-bea1-d6bcdcd12237	live	0.00	f72d045c4a60	NULL	2025-04-02 00:00:18	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:18	NULL	NULL	2025-04-01 18:30:18	yb_1821545516
21	1.50	yb_f2cde3ef44b5bd52893c9584d25efbdcf172	YB	ONLINE	1017	ROLLING FORTUNE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	28117fb2-93c3-c9c2-e2cc-b7ee7e6cd35d	live	0.00	93592cde85d4	NULL	2025-04-02 00:00:18	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:18	NULL	NULL	2025-04-01 18:30:18	yb_1821545240
22	2.00	yb_55d78ed78b7bc3ba12a7036f96df352ec1ca	YB	ONLINE	1026	GOLDEN AZTEC	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	11.00	16	egames	6e355c96-72af-f2a7-0a4e-158d46fffc73	live	0.00	82f797cfafff	NULL	2025-04-02 00:00:22	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:22	NULL	NULL	2025-04-01 18:30:22	yb_1821546725
23	1.00	yb_18705f614fd4f16188f05d411cbb024d4950	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	72473dd9-55b7-aa8d-6aff-bc94978fadcb	live	0.00	635bee431aea	NULL	2025-04-02 00:00:23	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:23	NULL	NULL	2025-04-01 18:30:23	yb_1821547048
24	1.00	yb_c52f6068f0167046571db0e04f8da973bd51	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	28182d96-92b9-3af8-3208-ca08ebddb974	live	0.00	e255160f9042	NULL	2025-04-02 00:00:23	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:23	NULL	NULL	2025-04-01 18:30:23	yb_1821547116
25	2.00	yb_37d0f8821a4bb58d315eedb4ffe4b038b1aa	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	ce5e3353-48c5-a883-fa08-036c364adb96	live	0.00	e35a219462c2	NULL	2025-04-02 00:00:23	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:23	NULL	NULL	2025-04-01 18:30:23	yb_1821547177
26	1.50	yb_8f0540d9325e645b77a4980430685fcda0be	YB	ONLINE	1017	ROLLING FORTUNE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	28117fb2-93c3-c9c2-e2cc-b7ee7e6cd35d	live	0.00	35b22cd30333	NULL	2025-04-02 00:00:24	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:24	NULL	NULL	2025-04-01 18:30:24	yb_1821547349
27	1.00	yb_693627d7b51e7d1ce9574afb6aea9fec47f1	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	5.00	16	egames	7a9813d1-452a-8332-3a7a-4fa4dd0080c7	live	0.00	929b9a291368	NULL	2025-04-02 00:00:26	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:26	NULL	NULL	2025-04-01 18:30:26	yb_1821548087
28	3.00	yb_2a39a2c361c697b993fb9f6aa9bb1fc9334b	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	83e0e13f-232c-4123-bc2d-4bbe428819ab	live	0.00	6bd67f4c4b23	NULL	2025-04-02 00:00:26	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:26	NULL	NULL	2025-04-01 18:30:26	yb_1821548091
29	4.00	yb_4271409cd3329ea3c7fb35e3031881172e98	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	a7f84f24-1ef1-406e-f82e-fcf07a8f9b80	live	0.00	007e83a12672	NULL	2025-04-02 00:00:27	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:27	NULL	NULL	2025-04-01 18:30:27	yb_1821548393
30	1.00	yb_ef96e577d9aa9fcd4b6e6318aba4c982dda3	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	c74296a0-d57c-9ac1-7591-bb56f1b32d19	live	0.00	bee26b6bde9d	NULL	2025-04-02 00:00:28	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:28	NULL	NULL	2025-04-01 18:30:28	yb_1821548933
31	1.00	yb_e9cd78a8e1ecd942ebdb81a0309ab471a8f9	YB	ONLINE	1003	FortuneTreasure	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	713a270f-03b3-d163-45e1-73e10cd5f7f9	live	0.00	c1b1017db843	NULL	2025-04-02 00:00:28	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:28	NULL	NULL	2025-04-01 18:30:28	yb_1821548875
32	1.00	yb_c9d37d2e81443ccf63feea641f08e0860ab7	YB	ONLINE	1019	FortuneCat	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	875b6e9c-4f64-d71e-6aee-794abb413759	live	0.00	439fb90ba0b8	NULL	2025-04-02 00:00:29	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:29	NULL	NULL	2025-04-01 18:30:29	yb_1821549124
33	1.00	yb_c108dce7afb18f364c73ac8b6b812f221329	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	99199bec-316c-1242-7344-1e099f3ddf6e	live	0.00	498710b95dca	NULL	2025-04-02 00:00:33	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:33	NULL	NULL	2025-04-01 18:30:33	yb_1821550511
34	2.00	yb_4c05b8c3ec6390d746f9970d8d7640eb0a9e	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	43792a44-7a8f-134d-e093-d32c6fa8d465	live	0.00	9404397d73b5	NULL	2025-04-02 00:00:34	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:34	NULL	NULL	2025-04-01 18:30:34	yb_1821550995
35	3.00	yb_fcb1af251baf4d15b3414c0f4e925ff23731	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	49d92a95-b310-b3c3-71b7-bef0d5756863	live	0.00	e20cdb0a884e	NULL	2025-04-02 00:00:35	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:35	NULL	NULL	2025-04-01 18:30:35	yb_1821551330
36	3.00	yb_3ffbe5d8728cdad4e07a33d3e3aab6fbb589	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	bae9e01a-a8a8-399b-8bb0-1c6f13545cc2	live	0.00	c4a0d633bb5a	NULL	2025-04-02 00:00:35	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:35	NULL	NULL	2025-04-01 18:30:35	yb_1821551261
37	1.00	yb_148e89ca1bdab2d953c33252ddb01a97281f	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	1e53686a-7af9-f3b7-bea1-d6bcdcd12237	live	0.00	339e89ab6558	NULL	2025-04-02 00:00:36	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:36	NULL	NULL	2025-04-01 18:30:36	yb_1821551587
38	1.50	yb_4e15313ceadb67fe18818a4b30010d7b3b67	YB	ONLINE	1025	KING ARTHUR GOLD	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	1.20	16	egames	6b3c287b-d8fd-d742-7456-1995845a8ea9	live	0.00	96d38c749d3e	NULL	2025-04-02 00:00:38	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:38	NULL	NULL	2025-04-01 18:30:38	yb_1821552320
39	1.50	yb_bf3025e21ed3ae8240c111afcc641969bc4f	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	12.00	16	egames	cb916a6b-027d-ab2f-3211-dad38285c238	live	0.00	e5ed9a613bfc	NULL	2025-04-02 00:00:40	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:40	NULL	NULL	2025-04-01 18:30:40	yb_1821553255
40	4.00	yb_2c4d974049daacf797d272512c08eee1eaa1	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	3.60	16	egames	a76674f6-7440-a89f-6085-5d26a940094d	live	0.00	b2e3c8032d82	NULL	2025-04-02 00:00:40	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:40	NULL	NULL	2025-04-01 18:30:40	yb_1821553138
41	1.00	yb_b615ca8609ac989113292052cbd671e305bc	YB	ONLINE	1004	MoneyHorse	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.20	16	egames	1f8f646e-aa05-6785-1579-8dde8f5d7770	live	0.00	bb586889d20e	NULL	2025-04-02 00:00:40	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:40	NULL	NULL	2025-04-01 18:30:40	yb_1821552996
42	6.00	yb_0b5539a3d8761b0ed1ba70943795a421a552	YB	ONLINE	1017	ROLLING FORTUNE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	ecb0c837-ec8f-9928-590a-32be0236a0d2	live	0.00	6eb7f4917d55	NULL	2025-04-02 00:00:42	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:42	NULL	NULL	2025-04-01 18:30:42	yb_1821553765
43	1.50	yb_444b7a88367483eb2a048ac09109f5789334	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	48376518-e2f0-fd4d-4f58-fcc771aeb1e2	live	0.00	2ca7b5299ccc	NULL	2025-04-02 00:00:42	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:42	NULL	NULL	2025-04-01 18:30:42	yb_1821554027
44	2.00	yb_bb6d3da363827c31753a8bb9d3d894b7ee5c	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	f02f730f-62c0-b41a-53e5-ca5f3d7c3a25	live	0.00	a467252ce1bb	NULL	2025-04-02 00:00:42	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:42	NULL	NULL	2025-04-01 18:30:42	yb_1821553773
45	2.00	yb_e69b83775efad310cd80a99dcc08306d5c66	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	71df77c4-4933-7db1-a41a-c2fbed69b00d	live	0.00	d3923406379b	NULL	2025-04-02 00:00:42	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:42	NULL	NULL	2025-04-01 18:30:42	yb_1821554000
46	1.00	yb_7254217b04a7f5758e3d9f5b3fe147f3ae0f	YB	ONLINE	1003	FortuneTreasure	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.80	16	egames	e56c41fd-e9b3-c949-2af9-fec67760d0d6	live	0.00	7a029e9c3baa	NULL	2025-04-02 00:00:43	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:43	NULL	NULL	2025-04-01 18:30:43	yb_1821554161
47	2.00	yb_f4f0cf5b358fea4d75b7110eac0d5be7bf68	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	ce5e3353-48c5-a883-fa08-036c364adb96	live	0.00	c832810f5b3d	NULL	2025-04-02 00:00:45	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:45	NULL	NULL	2025-04-01 18:30:45	yb_1821555109
48	4.00	yb_443e7a7ebc48138cfb198339ceba8e39c566	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	7cc9ff8e-f319-c987-4e9e-1b5666f4a0f1	live	0.00	664e7cc72ef0	NULL	2025-04-02 00:00:46	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:46	NULL	NULL	2025-04-01 18:30:46	yb_1821555235
49	1.00	yb_280f5d9525017195bc82c1e07239a004c2a3	YB	ONLINE	1038	SUPER EGYPT	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	2cc5cb2b-019f-79f2-f254-79a2978f99c8	live	0.00	e854b75a78da	NULL	2025-04-02 00:00:47	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:47	NULL	NULL	2025-04-01 18:30:47	yb_1821555639
50	5.00	yb_9c3562b3d244978692f20d04a99d7f1d780e	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	2295ab2d-5f65-76b4-3b73-05d902a426e4	live	0.00	ff98cd2311d5	NULL	2025-04-02 00:00:48	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:48	NULL	NULL	2025-04-01 18:30:48	yb_1821556156
51	5.00	yb_39c427a91afa0de9e851ad44011c15543bf5	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	1b38571f-8ee8-b153-5ae8-7d7b9fe07ddc	live	0.00	eb14befcca4c	NULL	2025-04-02 00:00:49	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:49	NULL	NULL	2025-04-01 18:30:49	yb_1821556572
52	9.00	yb_f7d796e543dcbcbea6f4a86557e549b9c062	YB	ONLINE	1013	Rolling7	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	c2c5398c-0bb0-863d-3a95-5e3de0e59b8c	live	0.00	41c07b841f04	NULL	2025-04-02 00:00:50	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:50	NULL	NULL	2025-04-01 18:30:50	yb_1821556658
53	3.00	yb_b31d638069cbff679ca17999938afebb7f15	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	49d92a95-b310-b3c3-71b7-bef0d5756863	live	0.00	f4917fb4de72	NULL	2025-04-02 00:00:52	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:52	NULL	NULL	2025-04-01 18:30:52	yb_1821557380
54	2.00	yb_024d9cf2598d67432047a506d032f863a5dd	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.30	16	egames	43792a44-7a8f-134d-e093-d32c6fa8d465	live	0.00	008a8ffdeca0	NULL	2025-04-02 00:00:54	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:54	NULL	NULL	2025-04-01 18:30:54	yb_1821558012
55	1.50	yb_c2482d07951362752ebe17e8cb27450c4d1a	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	609e3312-5df7-78a9-f246-ad28d6423e23	live	0.00	1e14243c1f0b	NULL	2025-04-02 00:00:54	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:54	NULL	NULL	2025-04-01 18:30:54	yb_1821558161
56	1.00	yb_62da887b59d5b2e431bf383982c8579cc35c	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	807b9be2-10ec-6018-b61f-32498bd5abab	live	0.00	00f3c9f233b2	NULL	2025-04-02 00:00:54	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:54	NULL	NULL	2025-04-01 18:30:54	yb_1821558222
57	1.00	yb_b6cd0313c6dc5538bec46ce0b0858e8bd5c4	YB	ONLINE	1003	FortuneTreasure	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	e56c41fd-e9b3-c949-2af9-fec67760d0d6	live	0.00	ca8004394a9f	NULL	2025-04-02 00:00:55	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:55	NULL	NULL	2025-04-01 18:30:55	yb_1821558385
